韻,小韻,切韻,王韻,廣韻,切韻校,上字擬音,下字擬音,小韻擬音
海,宰,作亥,作亥,作亥,作亥,ʦɑ̇q,ʁʌ́i,ʦʌ́i
海,駘,徒亥,徒亥,徒亥,徒亥,dɔ̄,ʁʌ́i,dʌ́i
海,乃,奴亥,奴亥,奴亥,奴亥,nɔ̄,ʁʌ́i,nʌ́i
海,改,古亥,古亥,古亥,古亥,qɔ́,ʁʌ́i,qʌ́i
海,亥,胡改,胡改,胡改,胡改,ʁɔ̄,qʌ́i,ʁʌ́i
海,啡,匹愷,疋愷,匹愷,疋愷,pʰʴi̇t,qʰʌ́i,pʰɔ́i
海,採,倉宰,倉宰,倉宰,倉宰,ʦʰɑ̄ɴ,ʦʌ́i,ʦʰʌ́i
海,茝,昌待,昌殆,昌紿,昌駘,cʰɯɑ̄ɴ,dʌ́i,cʰɯʌ́i
海,等,多改,多改,多改,多改,tɑ̄,qʌ́i,tʌ́i
海,䆀,莫亥,莫亥,莫亥,莫亥,mɑ̇q,ʁʌ́i,mɔ́i
海,在,昨宰,昨宰,昨宰,昨宰,ʣɑ̇q,ʦʌ́i,ʣʌ́i
海,俖,普乃,普乃,普乃,普乃,pʰɔ́,nʌ́i,pʰɔ́i
海,欸,於改,於改,於改,於改,ʔɯʌ̄,qʌ́i,ʔʌ́i
海,倍,薄亥,薄亥,薄亥,泊亥,bɑ̇q,ʁʌ́i,bɔ́i
𨋎,𨋎,之忍,之忍,章忍,之忍,cɯ̄,ɲín,cín
𨋎,蠢,尺尹,尺尹,尺尹,尺尹,cʰiȧk,ʝyín,cʰyín
𨋎,准,之尹,之尹,之尹,之尹,cɯ̄,ʝyín,cyín
𨋎,尹,余准,余准,余準,余准,ʝɯʌ̄,cyín,ʝyín
𨋎,筍,思尹,思尹,思尹,思尹,sɯ̄,ʝyín,syín
𨋎,愍,眉殞,眉殞,眉殞,眉殞,mʴī,ɦʴyín,mʴín
𨋎,牝,毗忍,毗忍,毗忍,毗忍,byī,ɲín,byín
𨋎,殞,于閔,于閔,于敏,于愍,ɦuɔ̄,mʴín,ɦʴyín
𨋎,窘,渠殞,渠殞,渠殞,渠殞,gɯʌ̄,ɦʴyín,gʴyín
𨋎,紖,直引,直引,直引,直引,dʴɯ̇k,ʝín,dʴín
𨋎,辴,勑忍,勑忍,丑忍,勑忍,tʰʴɯ̇k,ɲín,tʰʴín
𨋎,引,余𨋎,余𨋎,余忍,余𨋎,ʝɯʌ̄,cín,ʝín
𨋎,忍,而𨋎,而𨋎,而軫,而𨋎,ɲɯ̄,cín,ɲín
𨋎,矧,式忍,式忍,式忍,識忍,çɯ̇k,ɲín,çín
𨋎,緊,居忍,居忍,居忍,居忍,kɯʌ̄,ɲín,kʴín
𨋎,盡,慈引,詢引,慈忍,慈引,ʣɯ̄,ʝín,ʣín
𨋎,泯,武盡,武盡,武盡,武盡,muɔ́,ʣín,myín
𨋎,腎,時忍,時忍,時忍,時忍,ɟɯ̄,ɲín,ɟín
𨋎,釿,宜引,宜引,宜引,宜引,ŋʴiɛ̄,ʝín,ŋʴín
𨋎,盾,食尹,食尹,食尹,食尹,ɮɯ̇k,ʝyín,ɮyín
𨋎,笉,／,千忍,七忍,千忍,ʦʰɛ̄n,ɲín,ʦʰín
𨋎,僯,／,力𨋎,良忍,力𨋎,lʴɯ̇k,cín,lʴín
𨋎,㯸,／,子忍,即忍,子忍,ʦɯ́,ɲín,ʦín
𨋎,耣,／,力尹,力準,力尹,lʴɯ̇k,ʝyín,lʴyín
𨋎,㲝,／,而尹,而尹,而尹,ɲɯ̄,ʝyín,ɲyín
𨋎,縻,／,丘隕,丘尹,丘殞,kʰū,ɦʴyín,kʰʴyín
𨋎,螼,／,丘引,弃忍,丘引,kʰū,ɲín,kʰʴín
𨋎,賰,／,式尹,式允,識尹,çɯ̇k,ʝyín,çyín
𨋎,輑,／,牛隕,／,牛殞,ŋū,ɦʴyín,ŋʴyīn
吻,吻,武粉,武粉,武粉,武粉,muɔ́,pún,mún
吻,粉,方吻,方吻,方吻,方吻,puɑ̄ɴ,mún,pún
吻,憤,房吻,房吻,房吻,房吻,buɑ̄ɴ,mún,bún
吻,忿,敷粉,敷粉,敷粉,敷粉,pʰuɔ̄,pún,pʰún
吻,惲,於粉,於粉,於粉,於粉,ʔɯʌ̄,pún,ʔún
吻,齳,魚吻,魚吻,魚吻,魚吻,ŋɯʌ̄,mún,ŋún
吻,抎,／,于粉,云粉,于粉,ɦuɔ̄,pún,ɦún
隱,隱,於謹,於謹,於謹,於謹,ʔɯʌ̄,kɯ́n,ʔɯ́n
隱,謹,居隱,居隱,居隱,居隱,kɯʌ̄,ʔɯ́n,kɯ́n
隱,赾,丘謹,丘謹,丘謹,丘謹,kʰū,kɯ́n,kʰɯ́n
隱,近,其謹,其謹,其謹,其謹,gɯ̄,kɯ́n,gɯ́n
隱,听,牛謹,牛謹,牛謹,牛謹,ŋū,kɯ́n,ŋɯ́n
隱,齓,初隱,初隱,初隱,初隱,ꭧʰɯʌ̄,ʔɯ́n,ꭧʰɯ́n
隱,脪,／,興近,休謹,興近,xɯ̄ŋ,gɯ́n,xɯ́n
阮,阮,魚遠,虞遠,虞遠,魚遠,ŋɯʌ̄,ɦuɔ́n,ŋuɔ́n
阮,遠,雲晚,雲晚,雲阮,雲晚,ɦūn,muɔ́n,ɦuɔ́n
阮,偃,於𢖘,於幰,於幰,於㦥,ʔɯʌ̄,xɯʌ́n,ʔɯʌ́n
阮,湕,居偃,居偃,居偃,居偃,kɯʌ̄,ʔɯʌ́n,kɯʌ́n
阮,寋,其偃,其偃,其偃,其偃,gɯ̄,ʔɯʌ́n,gɯʌ́n
阮,𧥛,去偃,去偃,去偃,去偃,kʰɯʌ́,ʔɯʌ́n,kʰɯʌ́n
阮,𧥜,語偃,語偃,語偃,語偃,ŋɯʌ́,ʔɯʌ́n,ŋɯʌ́n
阮,㦥,虚偃,虚偃,虚偃,虚偃,xɯʌ̄,ʔɯʌ́n,xɯʌ́n
