韻,小韻,切韻,王韻,廣韻,切韻校,上字擬音,下字擬音,小韻擬音
東,東,德紅,德紅,德紅,徳洪,tʌ̇k,ʁɔūɴ,tɔūɴ
東,同,徒紅,徒紅,徒紅,徒洪,dɔ̄,ʁɔūɴ,dɔūɴ
東,中,陟隆,陟隆,陟弓,陟隆,tʴɯ̇k,lʴūɴ,tʴūɴ
東,蟲,直隆,直隆,直弓,直隆,dʴɯ̇k,lʴūɴ,dʴūɴ
東,終,職隆,職隆,職戎,職隆,cɯ̇k,lʴūɴ,cūɴ
東,忡,初中*,勑中,敕中,初中,ꭧʰɯʌ̄,tʴūɴ,ꭧʰūɴ
東,崇,劔隆*,鋤隆,鋤弓,鋤隆,ꭦɯʌ̄,lʴūɴ,ꭦūɴ
東,嵩,息隆,息隆,息弓,息隆,sɯ̇k,lʴūɴ,sūɴ
東,戎,而隆,如隆,如融,而隆,ɲɯ̄,lʴūɴ,ɲūɴ
東,弓,居隆,居隆,居戎,居隆,kɯʌ̄,lʴūɴ,kūɴ
東,融,餘隆,餘隆,以戎,余隆,ʝɯʌ̄,lʴūɴ,ʝūɴ
東,雄,羽隆,羽隆,羽弓,羽隆,ɦuɔ́,lʴūɴ,ɦūɴ
東,瞢,莫中,莫中,莫中,莫中,mɑ̇q,tʴūɴ,mūɴ
東,穹,去隆,去隆,去宮,去隆,kʰɯʌ́,lʴūɴ,kʰūɴ
東,窮,渠隆,渠隆,渠弓,渠隆,gɯʌ̄,lʴūɴ,gūɴ
東,馮,扶隆,扶隆,房戎,扶隆,buɔ̄,lʴūɴ,būɴ
東,風,方隆,方隆,方戎,方隆,puɑ̄ɴ,lʴūɴ,pūɴ
東,豐,敷隆,敷隆,敷隆,敷隆,pʰuɔ̄,lʴūɴ,pʰūɴ
東,充,處隆,處隆,昌終,處隆,cʰɯʌ́,lʴūɴ,cʰūɴ
東,隆,力中,力中,力中,力中,lʴɯ̇k,tʴūɴ,lʴūɴ
東,空,苦紅,苦紅,苦紅,苦洪,qʰɔ́,ʁɔūɴ,qʰɔūɴ
東,公,古紅,古紅,古紅,古洪,qɔ́,ʁɔūɴ,qɔūɴ
東,蒙,莫紅,莫紅,莫紅,莫洪,mɑ̇q,ʁɔūɴ,mɔūɴ
東,籠,盧紅,盧紅,盧紅,盧洪,lɔ̄,ʁɔūɴ,lɔūɴ
東,洪,胡籠,胡籠,戶公,胡籠,ʁɔ̄,lɔūɴ,ʁɔūɴ
東,叢,徂紅,徂紅,徂紅,徂洪,ʣɔ̄,ʁɔūɴ,ʣɔūɴ
東,翁,烏紅,烏紅,烏紅,烏洪,ʔɔ̄,ʁɔūɴ,ʔɔūɴ
東,忩,倉紅,倉紅,倉紅,倉洪,ʦʰɑ̄ɴ,ʁɔūɴ,ʦʰɔūɴ
東,通,他紅,他紅,他紅,他洪,tʰɑ̄,ʁɔūɴ,tʰɔūɴ
東,葼,子紅,子紅,子紅,子洪,ʦɯ́,ʁɔūɴ,ʦɔūɴ
東,蓬,薄紅,薄紅,薄紅,泊洪,bɑ̇q,ʁɔūɴ,bɔūɴ
東,烘,呼同,呼紅,呼東,呼同,xɔ̄,dɔūɴ,xɔūɴ
東,棇,蘇公,蘇公,蘇公,蘇公,sɔ̄,qɔūɴ,sɔūɴ
東,㟅,五公,／,五東,五公,ɴɔ́,qɔūɴ,ɴɔūɴ
冬,冬,都宗,都宗,都宗,都宗,tɔ̄,ʦɔ̄ɴ,tɔ̄ɴ
冬,彤,徒冬,徒冬,徒冬,徒冬,dɔ̄,tɔ̄ɴ,dɔ̄ɴ
冬,賨,在宗,在宗,藏宗,在宗,ʣʌ́i,ʦɔ̄ɴ,ʣɔ̄ɴ
冬,農,奴冬,奴冬,奴冬,奴冬,nɔ̄,tɔ̄ɴ,nɔ̄ɴ
冬,恭,駒冬,駒冬,九容,拘冬,kuɔ̄,tɔ̄ɴ,kuɔ̄ɴ
冬,蜙,先恭,先恭,息恭,先恭,sɛ̄n,kuɔ̄ɴ,suɔ̄ɴ
冬,樅,七恭,七容,七恭,七恭,ʦʰi̇t,kuɔ̄ɴ,ʦʰuɔ̄ɴ
冬,攻,古冬,古冬,古冬,古冬,qɔ́,tɔ̄ɴ,qɔ̄ɴ
冬,䃔,戶冬,戶冬,戶冬,戶冬,ʁɔ́,tɔ̄ɴ,ʁɔ̄ɴ
冬,䃧,力宗,力宗,力冬,力宗,lʴɯ̇k,ʦɔ̄ɴ,lɔ̄ɴ
冬,宗,作綜*,作琮,作冬,作賨,ʦɑ̇q,ʣɔ̄ɴ,ʦɔ̄ɴ
冬,鬆,私宗,先恭,私宗,私宗,sī,ʦɔ̄ɴ,sɔ̄ɴ
冬,銎,／,曲恭,曲恭,曲恭,kʰuɔ̇q,kuɔ̄ɴ,kʰuɔ̄ɴ
鍾,鍾,職容,職容,職容,職容,cɯ̇k,ʝuɔ̄ɴ,cuɔ̄ɴ
鍾,龍,力鍾,力鍾,力鍾,力鍾,lʴɯ̇k,cuɔ̄ɴ,lʴuɔ̄ɴ
鍾,舂,書容,書容,書容,書容,çɯʌ̄,ʝuɔ̄ɴ,çuɔ̄ɴ
鍾,松,祥容,詳容,祥容,詳容,zɯɑ̄ɴ,ʝuɔ̄ɴ,zuɔ̄ɴ
鍾,衝,尺容,尺容,尺容,尺容,cʰiȧk,ʝuɔ̄ɴ,cʰuɔ̄ɴ
鍾,容,餘封,餘封,餘封,余封,ʝɯʌ̄,puɔ̄ɴ,ʝuɔ̄ɴ
鍾,封,府容,府容,府容,甫容,puɔ́,ʝuɔ̄ɴ,puɔ̄ɴ
鍾,胷,許容,許容,許容,許容,xɯʌ́,ʝuɔ̄ɴ,xuɔ̄ɴ
鍾,顒,魚容,魚容,魚容,魚容,ŋɯʌ̄,ʝuɔ̄ɴ,ŋuɔ̄ɴ
鍾,邕,於容,於容,於容,於容,ʔɯʌ̄,ʝuɔ̄ɴ,ʔuɔ̄ɴ
鍾,醲,女容,女容,女容,女容,nʴɯʌ́,ʝuɔ̄ɴ,nʴuɔ̄ɴ
鍾,重,治容,直容,直容,治容,dʴɯ̇k,ʝuɔ̄ɴ,dʴuɔ̄ɴ
鍾,從,疾容,疾容,疾容,疾容,ʣi̇t,ʝuɔ̄ɴ,ʣuɔ̄ɴ
鍾,蹱,丑凶,丑凶,丑凶,丑胷,tʰʴú,xuɔ̄ɴ,tʰʴuɔ̄ɴ
鍾,逢,符容,符容,符容,扶容,buɔ̄,ʝuɔ̄ɴ,buɔ̄ɴ
鍾,峯,敷容,敷容,敷容,敷容,pʰuɔ̄,ʝuɔ̄ɴ,pʰuɔ̄ɴ
鍾,縱,即容,即容,即容,即容,ʦɯ̇k,ʝuɔ̄ɴ,ʦuɔ̄ɴ
鍾,茸,而容,而容,而容,而容,ɲɯ̄,ʝuɔ̄ɴ,ɲuɔ̄ɴ
鍾,蛩,渠容,渠容,渠容,渠容,gɯʌ̄,ʝuɔ̄ɴ,guɔ̄ɴ
鍾,鱅,蜀容,蜀容,蜀庸,蜀容,ɟuɔ̇q,ʝuɔ̄ɴ,ɟuɔ̄ɴ
江,江,古雙,古雙,古雙,古雙,qɔ́,ʂɔ̄ɴ,qʴɔ̄ɴ
江,庬,莫江,莫江,莫江,莫江,mɑ̇q,qʴɔ̄ɴ,mʴɔ̄ɴ
江,𦗳,女江,女江,女江,女江,nʴɯʌ́,qʴɔ̄ɴ,nʴɔ̄ɴ
江,窓,楚江,楚江,楚江,楚江,ꭧʰɯʌ́,qʴɔ̄ɴ,ꭧʰɔ̄ɴ
江,邦,愽江,博江,博江,博江,pɑ̇q,qʴɔ̄ɴ,pʴɔ̄ɴ
江,栙,机江*,下江,下江,下江,ʁʴá,qʴɔ̄ɴ,ʁʴɔ̄ɴ
江,胮,疋江,栢江,匹江,疋江,pʰʴi̇t,qʴɔ̄ɴ,pʰʴɔ̄ɴ
江,瀧,呂江,呂江,呂江,呂江,lʴɯʌ́,qʴɔ̄ɴ,lʴɔ̄ɴ
江,雙,所江,所江,所江,所江,ʂɯʌ́,qʴɔ̄ɴ,ʂɔ̄ɴ
江,龐,薄江,蒲江,薄江,泊江,bɑ̇q,qʴɔ̄ɴ,bʴɔ̄ɴ
江,肛,許江,許江,許江,許江,xɯʌ́,qʴɔ̄ɴ,xʴɔ̄ɴ
江,腔,苦江,苦江,苦江,苦江,qʰɔ́,qʴɔ̄ɴ,qʰʴɔ̄ɴ
江,幢,宅江,宅江,宅江,宅江,dʴȧk,qʴɔ̄ɴ,dʴɔ̄ɴ
江,憃,丑江,丑江,丑江,丑江,tʰʴú,qʴɔ̄ɴ,tʰʴɔ̄ɴ
江,樁,都江,都江,都江,都江,tɔ̄,qʴɔ̄ɴ,tʴɔ̄ɴ
支,支,章移,章移,章移,章移,cɯɑ̄ɴ,ʝiɛ̄,ciɛ̄
支,移,弋支,弋支,弋支,弋支,ʝɯ̇k,ciɛ̄,ʝiɛ̄
支,爲,薳支,薳支,薳支,蔿支,ɦʴyɛ́,ciɛ̄,ɦʴyɛ̄
支,嬀,居爲,居爲,居爲,居爲,kɯʌ̄,ɦʴyɛ̄,kʴyɛ̄
支,麾,許爲,許爲,許爲,許爲,xɯʌ́,ɦʴyɛ̄,xʴyɛ̄
支,逶,於爲,於爲,於爲,於爲,ʔɯʌ̄,ɦʴyɛ̄,ʔʴyɛ̄
支,糜,靡爲,靡爲,靡爲,靡爲,mʴiɛ́,ɦʴyɛ̄,mʴiɛ̄
支,隳,許規,許規,許規,許槻,xɯʌ́,kyɛ̄,xyɛ̄
支,鬌,直垂,直垂,直垂,直垂,dʴɯ̇k,ɟyɛ̄,dʴyɛ̄
支,垂,是爲,是爲,是爲,是爲,ɟiɛ́,ɦʴyɛ̄,ɟyɛ̄
支,羸,力爲,力爲,力爲,力爲,lʴɯ̇k,ɦʴyɛ̄,lʴyɛ̄
支,吹,昌爲,昌爲,昌垂,昌爲,cʰɯɑ̄ɴ,ɦʴyɛ̄,cʰyɛ̄
支,鈹,普羇,敷羈,敷羈,普羈,pʰɔ́,kʴiɛ̄,pʰʴiɛ̄
支,陂,彼爲,彼爲,彼爲,彼爲,pʴiɛ́,ɦʴyɛ̄,pʴiɛ̄
支,隨,旬爲,旬爲,旬爲,旬爲,zyīn,ɦʴyɛ̄,zyɛ̄
支,虧,去爲,去爲,去爲,去爲,kʰɯʌ́,ɦʴyɛ̄,kʰʴyɛ̄
支,𨶳,去隨,去隨,去隨,去隨,kʰɯʌ́,zyɛ̄,kʰyɛ̄
支,奇,渠羇,渠羈,渠羈,渠羈,gɯʌ̄,kʴiɛ̄,gʴiɛ̄
支,祇,巨支,巨支,巨支,巨支,gɯʌ́,ciɛ̄,giɛ̄
支,犧,許羈,許羇,許羈,許羈,xɯʌ́,kʴiɛ̄,xʴiɛ̄
支,㩻,去奇,去奇,去奇,去奇,kʰɯʌ́,gʴiɛ̄,kʰʴiɛ̄
支,宜,魚羇,魚羈,魚羈,魚羈,ŋɯʌ̄,kʴiɛ̄,ŋʴiɛ̄
支,皮,符羈,符羇,符羈,扶羈,buɔ̄,kʴiɛ̄,bʴiɛ̄
支,提,是支,是支,是支,是支,ɟiɛ́,ciɛ̄,ɟiɛ̄
支,兒,汝移,如移,汝移,汝移,ɲɯʌ́,ʝiɛ̄,ɲiɛ̄
支,離,呂私*,呂移,呂支,呂移,lʴɯʌ́,ʝiɛ̄,lʴiɛ̄
支,疵,疾移,疾移,疾移,疾移,ʣi̇t,ʝiɛ̄,ʣiɛ̄
支,貲,即移,即移,即移,即移,ʦɯ̇k,ʝiɛ̄,ʦiɛ̄
支,羈,居宜,居宜,居宜,居宜,kɯʌ̄,ŋʴiɛ̄,kʴiɛ̄
支,卑,府移,府移,府移,甫移,puɔ́,ʝiɛ̄,pyɛ̄
支,陴,……,符支,符支,扶支,buɔ̄,ciɛ̄,byɛ̄
支,絁,式支,式支,式支,識支,çɯ̇k,ciɛ̄,çiɛ̄
支,斯,息移,息移,息移,息移,sɯ̇k,ʝiɛ̄,siɛ̄
支,差,……,楚宜,楚宜,楚宜,ꭧʰɯʌ́,ŋʴiɛ̄,ꭧʰiɛ̄
支,摛,……,丑知,丑知,丑知,tʰʴú,tʴiɛ̄,tʰʴiɛ̄
支,弥,……,武移,武移,武移,muɔ́,ʝiɛ̄,myɛ̄
支,雌,……,七移,此移,七移,ʦʰi̇t,ʝiɛ̄,ʦʰiɛ̄
支,知,……,陟移,陟離,陟移,tʴɯ̇k,ʝiɛ̄,tʴiɛ̄
支,漪,於離,於離,於離,於離,ʔɯʌ̄,lʴiɛ̄,ʔʴiɛ̄
支,馳,直知,直知,直離,直知,dʴɯ̇k,tʴiɛ̄,dʴiɛ̄
支,眭,……,息爲,息爲,息爲,sɯ̇k,ɦʴyɛ̄,syɛ̄
支,危,魚爲,魚爲,魚爲,魚爲,ŋɯʌ̄,ɦʴyɛ̄,ŋʴyɛ̄
支,訑,香支,香支,香支,香支,xɯɑ̄ɴ,ciɛ̄,xiɛ̄
支,眵,…支,叱支,叱支,𠮟支,cʰi̇t,ciɛ̄,cʰiɛ̄
支,釃,所宜,所宜,所宜,所宜,ʂɯʌ́,ŋʴiɛ̄,ʂiɛ̄
支,䪎,山垂,山垂,山垂,山垂,ʂɛ̄n,ɟyɛ̄,ʂyɛ̄
支,痿,人垂,人垂,人垂,仁垂,ɲīn,ɟyɛ̄,ɲyɛ̄
支,厜,姉規,姉規,娕規,姉槻,ʦí,kyɛ̄,ʦyɛ̄
支,槻,居隨,居隨,居隋,居隨,kɯʌ̄,zyɛ̄,kyɛ̄
支,劑,觜隨,觜隨,遵爲,觜隨,ʦyɛ́,zyɛ̄,ʦyɛ̄
支,衰,楚危,楚危,楚危,楚危,ꭧʰɯʌ́,ŋʴyɛ̄,ꭧʰyɛ̄
支,腄,竹垂,竹垂,竹垂,竹垂,tʴu̇q,ɟyɛ̄,tʴyɛ̄
支,䮔,子垂,子垂,子垂,子垂,ʦɯ́,ɟyɛ̄,cyɛ̄
支,觿,／,与規,悅吹,與槻,ʝɯʌ́,kyɛ̄,ɦyɛ̄
支,䔺,／,／,／,／,／,／,ʝyɛ̄
脂,脂,旨夷,旨夷,旨夷,旨姨,cí,ʝī,cī
脂,姨,以脂,以脂,以脂,以脂,ʝɯ́,cī,ʝī
脂,師,踈脂,踈脂,䟽夷,踈脂,ʂɯʌ̄,cī,ʂī
脂,毗,房脂,房脂,房脂,房脂,buɑ̄ɴ,cī,byī
脂,咨,即脂,即夷,即夷,即脂,ʦɯ̇k,cī,ʦī
脂,飢,居脂,居脂,居夷,居脂,kɯʌ̄,cī,kʴī
脂,䲭,處脂,處脂,處脂,處脂,cʰɯʌ́,cī,cʰī
脂,絺,丑脂,丑脂,丑飢,丑脂,tʰʴú,cī,tʰʴī
脂,郪,取私,取私,取私,取私,ʦʰuɔ́,sī,ʦʰī
脂,茨,疾脂,疾脂,疾資,疾脂,ʣi̇t,cī,ʣī
脂,尼,女脂,女脂,女夷,女脂,nʴɯʌ́,cī,nʴī
脂,墀,直尼,直尼,直尼,直尼,dʴɯ̇k,nʴī,dʴī
脂,私,息脂,息脂,息夷,息脂,sɯ̇k,cī,sī
脂,尸,式脂,式脂,式脂,識脂,çɯ̇k,cī,çī
脂,鬐,渠脂,渠脂,渠脂,渠脂,gɯʌ̄,cī,gʴī
脂,伊,於脂,於脂,於脂,於脂,ʔɯʌ̄,cī,ʔī
脂,梨,力脂,力脂,力脂,力脂,lʴɯ̇k,cī,lʴī
脂,葵,渠隹,渠隹,渠追,渠錐,gɯʌ̄,cyī,gyī
脂,追,陟隹,陟隹,陟隹,陟錐,tʴɯ̇k,cyī,tʴyī
脂,龜,居追,居追,居追,居追,kɯʌ̄,tʴyī,kʴyī
脂,蕤,儒隹,儒隹,儒隹,儒錐,ɲuɔ̄,cyī,ɲyī
脂,衰,所追,所追,所追,所追,ʂɯʌ́,tʴyī,ʂyī
脂,惟,以隹,以隹,以追,以錐,ʝɯ́,cyī,ɦyī
脂,𣄧,／,／,／,／,／,／,ʝyī
脂,㶟,力追,力追,力追,力追,lʴɯ̇k,tʴyī,lʴyī
脂,綏,息遺,息遺,息遺,息惟,sɯ̇k,ʝyī,syī
脂,逵,渠追,渠追,渠追,渠追,gɯʌ̄,tʴyī,gʴyī
脂,眉,武悲,武悲,武悲,武悲,muɔ́,pʴī,mʴī
脂,悲,府眉,府眉,府眉,甫眉,puɔ́,mʴī,pʴī
脂,錐,職追,職維,職追,職追,cɯ̇k,tʴyī,cyī
脂,誰,視隹,視隹,視隹,視錐,ɟí,cyī,ɟyī
脂,帷,洧悲,洧悲,洧悲,洧悲,ɦʴyí,pʴī,ɦʴyī
脂,邳,苻悲,苻悲,苻悲,扶悲,buɔ̄,pʴī,bʴī
脂,丕,敷悲,敷悲,敷悲,敷悲,pʰuɔ̄,pʴī,pʰʴī
脂,倠,許維,許維,許維,許惟,xɯʌ́,ʝyī,xyī
脂,鎚,直追,直追,直追,直追,dʴɯ̇k,tʴyī,dʴyī
脂,推,尺隹,尺隹,尺隹,尺錐,cʰiȧk,cyī,cʰyī
脂,胝,丁私,丁私,丁尼,丁私,tɛ̄ŋ,sī,tʴī
脂,紕,疋夷,匹夷,匹夷,疋姨,pʰʴi̇t,ʝī,pʰyī
脂,嶉,醉綏,醉唯,醉綏,醉綏,ʦyì,syī,ʦyī
脂,巋,丘追,丘追,丘追,丘追,kʰū,tʴyī,kʰʴyī
脂,狋,牛飢,生肌*,牛飢,牛飢,ŋū,kʴī,ŋʴī
脂,𣢂,／,虚伊,喜夷,虚伊,xɯʌ̄,ʔī,xʴī
之,之,止而,止而,止而,止而,cɯ́,ɲɯ̄,cɯ̄
之,飴,与之,与之,與之,與之,ʝɯʌ́,cɯ̄,ʝɯ̄
之,時,市之,市之,市之,市之,ɟɯ́,cɯ̄,ɟɯ̄
之,疑,語基,語基,語其,語姬,ŋɯʌ́,kɯ̄,ŋɯ̄
之,思,息慈,息茲,息茲,息慈,sɯ̇k,ʣɯ̄,sɯ̄
之,輜,楚治,楚持,楚持,楚治,ꭧʰɯʌ́,dʴɯ̄,ꭧʰɯ̄
之,其,渠之,渠之,渠之,渠之,gɯʌ̄,cɯ̄,gɯ̄
之,詩,所之,書之,書之,書之,çɯʌ̄,cɯ̄,çɯ̄
之,而,如之,如之,如之,如之,ɲɯʌ̄,cɯ̄,ɲɯ̄
之,欺,去其,去其,去其,去其,kʰɯʌ́,gɯ̄,kʰɯ̄
之,姬,居之,居之,居之,居之,kɯʌ̄,cɯ̄,kɯ̄
之,詞,似茲,似茲,似茲,似茲,zɯ́,ʦɯ̄,zɯ̄
之,釐,理之,理之,里之,里之,lʴɯ́,cɯ̄,lʴɯ̄
之,甾,側持,側持,側持,稄治,ꭧɯ̇k,dʴɯ̄,ꭧɯ̄
之,僖,許其,許其,許其,許其,xɯʌ́,gɯ̄,xɯ̄
之,醫,於其,於其,於其,於其,ʔɯʌ̄,gɯ̄,ʔɯ̄
之,癡,丑之,丑之,丑之,丑之,tʰʴú,cɯ̄,tʰʴɯ̄
之,治,直之,直之,直之,直之,dʴɯ̇k,cɯ̄,dʴɯ̄
之,蚩,赤之,尺之,赤之,尺之,cʰiȧk,cɯ̄,cʰɯ̄
之,慈,疾之,疾之,疾之,疾之,ʣi̇t,cɯ̄,ʣɯ̄
之,茲,子之,子慈,子之,子之,ʦɯ́,cɯ̄,ʦɯ̄
之,茬,士之,士之,士之,士之,ꭦɯ́,cɯ̄,ꭦɯ̄
之,漦,俟淄,俟淄,俟甾,俟甾,ʐɯ́,ꭧɯ̄,ʐɯ̄
微,微,無非,無非,無非,無奜,muɔ̄,pūi,mūi
微,輝,許歸,許歸,許歸,許歸,xɯʌ́,kūi,xūi
微,幃,王非,王非,雨非,王奜,ɦuɑ̄ɴ,pūi,ɦūi
微,霏,芳非,芳非,芳非,芳奜,pʰuɑ̄ɴ,pūi,pʰūi
微,奜,匪肥,匪肥,甫微,匪肥,púi,būi,pūi
微,肥,符非,符非,符非,扶奜,buɔ̄,pūi,būi
微,威,於非,於非,於非,於奜,ʔɯʌ̄,pūi,ʔūi
微,祈,渠希,渠希,渠希,渠希,gɯʌ̄,xɯ̄i,gɯ̄i
微,機,居希,居希,居依,居希,kɯʌ̄,xɯ̄i,kɯ̄i
微,希,虚機,虚機,香衣,虚機,xɯʌ̄,kɯ̄i,xɯ̄i
微,依,於機,於機,於希,於機,ʔɯʌ̄,kɯ̄i,ʔɯ̄i
微,沂,魚機,魚機,魚衣,魚機,ŋɯʌ̄,kɯ̄i,ŋɯ̄i
微,巍,語韋,語韋,語韋,語幃,ŋɯʌ́,ɦūi,ŋūi
微,蘬,丘韋,丘韋,丘韋,丘幃,kʰū,ɦūi,kʰūi
微,歸,俱韋,俱韋,舉韋,拘幃,kuɔ̄,ɦūi,kūi
魚,魚,語居,語居,語居,語居,ŋɯʌ́,kɯʌ̄,ŋɯʌ̄
魚,初,楚魚,楚魚,楚居,楚魚,ꭧʰɯʌ́,ŋɯʌ̄,ꭧʰɯʌ̄
魚,書,傷魚,傷魚,傷魚,商魚,çɯɑ̄ɴ,ŋɯʌ̄,çɯʌ̄
魚,居,舉魚,舉魚,九魚,舉魚,kɯʌ́,ŋɯʌ̄,kɯʌ̄
魚,渠,強魚,強魚,強魚,強魚,gɯɑ̄ɴ,ŋɯʌ̄,gɯʌ̄
魚,余,与魚,与魚,以諸,與魚,ʝɯʌ́,ŋɯʌ̄,ʝɯʌ̄
魚,胥,息魚,息魚,相居,息魚,sɯ̇k,ŋɯʌ̄,sɯʌ̄
魚,疽,七余,七余,七余,七余,ʦʰi̇t,ʝɯʌ̄,ʦʰɯʌ̄
魚,鋤,助魚,助魚,士魚,助魚,ꭦɯʌ̀,ŋɯʌ̄,ꭦɯʌ̄
魚,攄,勑居,勑居,丑居,勑居,tʰʴɯ̇k,kɯʌ̄,tʰʴɯʌ̄
魚,踈,色魚,色魚,所葅,色魚,ʂɯ̇k,ŋɯʌ̄,ʂɯʌ̄
魚,虚,許魚,許魚,朽居,許魚,xɯʌ́,ŋɯʌ̄,xɯʌ̄
魚,徐,似魚,似魚,似魚,似魚,zɯ́,ŋɯʌ̄,zɯʌ̄
魚,於,𡘖魚*,央魚,央居,央魚,ʔɯɑ̄ɴ,ŋɯʌ̄,ʔɯʌ̄
魚,豬,陟魚,陟魚,陟魚,陟魚,tʴɯ̇k,ŋɯʌ̄,tʴɯʌ̄
魚,臚,力魚,力魚,力居,力魚,lʴɯ̇k,ŋɯʌ̄,lʴɯʌ̄
魚,諸,章魚,章魚,章魚,章魚,cɯɑ̄ɴ,ŋɯʌ̄,cɯʌ̄
魚,除,直魚,直魚,直魚,直魚,dʴɯ̇k,ŋɯʌ̄,dʴɯʌ̄
魚,如,女魚*,汝魚,人諸,汝魚,ɲɯʌ́,ŋɯʌ̄,ɲɯʌ̄
魚,且,子魚,子魚,子魚,子魚,ʦɯ́,ŋɯʌ̄,ʦɯʌ̄
魚,墟,去魚,去魚,去魚,去魚,kʰɯʌ́,ŋɯʌ̄,kʰɯʌ̄
魚,葅,側魚,側魚,側魚,稄魚,ꭧɯ̇k,ŋɯʌ̄,ꭧɯʌ̄
魚,蜍,署魚,与魚,署魚,署魚,ɟɯʌ̀,ŋɯʌ̄,ɟɯʌ̄
魚,袽,女余,女余,女余,女余,nʴɯʌ́,ʝɯʌ̄,nʴɯʌ̄
虞,虞,語俱,語俱,遇俱,語拘,ŋɯʌ́,kuɔ̄,ŋuɔ̄
虞,芻,測隅,測禺,測隅,測虞,ꭧʰɯ̇k,ŋuɔ̄,ꭧʰuɔ̄
虞,無,武夫,武夫,武夫,武扶,muɔ́,buɔ̄,muɔ̄
虞,于,明俱*,羽俱,羽俱,羽拘,ɦuɔ́,kuɔ̄,ɦuɔ̄
虞,訏,況于,況于,況于,況于,xuɑ̀ɴ,ɦuɔ̄,xuɔ̄
虞,劬,其俱,其俱,其俱,其拘,gɯ̄,kuɔ̄,guɔ̄
虞,儒,日朱,日朱,人朱,日朱,ɲi̇t,cuɔ̄,ɲuɔ̄
虞,䰅,相俞,相俞,相俞,相逾,sɯɑ̄ɴ,ʝuɔ̄,suɔ̄
虞,株,陟輸,陟輸,陟輸,陟輸,tʴɯ̇k,çuɔ̄,tʴuɔ̄
虞,貙,勑俱,勑俱,敕俱,勑拘,tʰʴɯ̇k,kuɔ̄,tʰʴuɔ̄
虞,銖,市朱,市朱,市朱,市朱,ɟɯ́,cuɔ̄,ɟuɔ̄
虞,逾,羊朱,羊朱,羊朱,陽朱,ʝɯɑ̄ɴ,cuɔ̄,ʝuɔ̄
虞,區,氣俱,氣俱,豈俱,氣拘,kʰɯ̀i,kuɔ̄,kʰuɔ̄
虞,朱,止俱,止俱,章俱,止拘,cɯ́,kuɔ̄,cuɔ̄
虞,趨,七朱,七朱,七逾,七朱,ʦʰi̇t,cuɔ̄,ʦʰuɔ̄
虞,慺,力朱,力朱,力朱,力朱,lʴɯ̇k,cuɔ̄,lʴuɔ̄
虞,扶,附夫,附夫,防無,附扶,buɔ̀,buɔ̄,buɔ̄
虞,䅳,士于,士于,仕于,士于,ꭦɯ́,ɦuɔ̄,ꭦuɔ̄
虞,敷,撫夫,撫扶,芳無,撫扶,pʰuɔ́,buɔ̄,pʰuɔ̄
虞,諏,子于,子于,子于,子于,ʦɯ́,ɦuɔ̄,ʦuɔ̄
虞,跗,甫于,甫于,甫無,甫于,puɔ́,ɦuɔ̄,puɔ̄
虞,䊸,憶俱,憶俱,憶俱,憶拘,ʔɯ̇k,kuɔ̄,ʔuɔ̄
虞,輸,式朱,式朱,式朱,識朱,çɯ̇k,cuɔ̄,çuɔ̄
虞,樞,昌朱,昌朱,昌朱,昌朱,cʰɯɑ̄ɴ,cuɔ̄,cʰuɔ̄
虞,廚,直誅,直朱,直誅,直株,dʴɯ̇k,tʴuɔ̄,dʴuɔ̄
虞,拘,舉隅,舉隅,舉朱,舉虞,kɯʌ́,ŋuɔ̄,kuɔ̄
虞,毹,山虞,山虞,山芻,山虞,ʂɛ̄n,ŋuɔ̄,ʂuɔ̄
模,模,莫胡,莫胡,莫胡,莫胡,mɑ̇q,ʁɔ̄,mɔ̄
模,匍,薄胡,薄胡,薄胡,泊胡,bɑ̇q,ʁɔ̄,bɔ̄
模,胡,戶吳,戶吳,戶吳,戶吾,ʁɔ́,ɴɔ̄,ʁɔ̄
模,孤,古胡,古胡,古胡,古胡,qɔ́,ʁɔ̄,qɔ̄
模,徒,度都,度都,同都,鐸都,dɑ̇q,tɔ̄,dɔ̄
模,奴,乃胡,乃胡,乃都,乃胡,nʌ́i,ʁɔ̄,nɔ̄
模,呼,荒烏,荒烏,荒烏,荒烏,xʷɑ̄ɴ,ʔɔ̄,xɔ̄
模,吾,五胡,五胡,五乎,五胡,ɴɔ́,ʁɔ̄,ɴɔ̄
模,租,則吾,則胡,則吾,則吾,ʦʌ̇k,ɴɔ̄,ʦɔ̄
模,盧,落胡,落胡,落胡,落胡,lɑ̇q,ʁɔ̄,lɔ̄
模,蘇,思吾,思吾,素姑,思吾,sɯ̄,ɴɔ̄,sɔ̄
模,徂,昨姑,昨姑,昨胡,昨孤,ʣɑ̇q,qɔ̄,ʣɔ̄
模,烏,哀都,哀都,哀都,哀都,ʔʌ̄i,tɔ̄,ʔɔ̄
模,逋,愽孤,博孤,博孤,博孤,pɑ̇q,qɔ̄,pɔ̄
模,枯,苦胡,苦胡,苦胡,苦胡,qʰɔ́,ʁɔ̄,qʰɔ̄
模,麁,倉胡,倉胡,倉胡,倉胡,ʦʰɑ̄ɴ,ʁɔ̄,ʦʰɔ̄
模,㻌,他胡,他胡,他胡,他胡,tʰɑ̄,ʁɔ̄,tʰɔ̄
