字	韻
㜎	匣・齊平
㜓	端・覃入
㜗	清・覃平
㜗	清・覃上
㜗	清・覃入
㜘	精伊麻平
㜝	疑・覃上
㜢	來威魚上
㜣	泥・仙去
㜣	日伊先平
㜣	書伊先上
㜤	泥・添上
㜤	書伊侵上
㜪	生漪真平
㜮	來・談去
㜰	以伊陽入
㜰	書伊陽入
㜲	以伊清平
㜳	匣蛙皆平
㜵	泥・蕭上
㜷	明伊支平
㜸	疑漪先入
㜺	從・寒去
㜺	精・寒去
㜽	精依之上
㝂	章伊祭去
㝃	明威元上
㝃	明漪先上
㝅	見・侯去
㝅	泥・侯上
㝈	生逶先去
㝈	生蛙刪去
㝌	以伊尤上
㝌	見依尤去
㝏	見娃皆去
㝐	以惟冬平
㝖	疑漪支平
㝗	來・唐平
㝗	來・唐上
㝞	影娃麻平
㝢	云威魚上
㝣	影・齊去
㝣	影・仙入
㝤	見・侯去
㝩	谿・唐平
㝩	谿・唐上
㝪	端・添去
㝪	端・添入
㝯	羣漪宵平
㝰	明・仙平
㝱	明威東去
㝻	羣漪真去
㝼	影威魚平
㝾	精・歌去
㝾	精・歌上
㝿	幫・歌上
㞁	以伊宵去
㞂	透區咍上
㞄	影・覃平
㞄	影・覃上
㞆	谿漪支去
㞆	見漪支上
㞇	影區咍上
㞋	日惟先上
㞋	孃漪先上
㞏	澄漪侵入
㞒	曉娃皆去
㞓	谿伊脂去
㞕	心區痕入
㞙	泥・蕭去
㞚	生娃銜入
㞚	莊娃咸入
㞚	初漪侵入
㞛	見漪脂上
㞜	透區咍平
㞟	定・仙去
㞟	端・青上
㞡	知漪先上
㞢	章伊之平
㞣	並威文平
㞣	滂威文平
㞥	崇漪侵平
㞦	見漪脂上
㞷	羣威陽平
㞽	曉威元入
㟅	來・東平
㟅	疑娃江平
㟅	疑・東平
㟉	來・豪平
㟋	定區泰去
㟌	明娃江平
㟍	來・唐平
㟎	透區咍上
㟎	透區歌上
㟏	曉・覃平
㟐	明・唐去
㟐	明・唐上
㟛	從・談上
㟞	崇娃山上
㟪	影威微平
㟳	來伊真入
㟸	見・豪平
㟺	來威魚平
㟽	幫伊宵上
㟾	以惟冬平
㠀	端・豪上
㠆	端・寒平
㠇	從依尤去
㠊	谿依魚平
㠍	精伊侵入
㠐	羣漪宵平
㠑	從區咍上
㠑	從惟脂上
㠒	幫伊宵平
㠔	幫娃佳去
㠖	疑漪支上
㠝	從區寒平
㠠	來依魚平
㠢	匣蛙皆平
㠥	來惟脂平
㠦	滂威東平
㠭	知漪先上
㠯	以伊之上
㠴	日伊真入
㠵	曉區唐平
㠷	見・覃入
㠸	幫威魚平
㠹	見娃皆去
㠺	明伊宵平
㠽	定・冬平
㠾	影威元平
㠿	精伊支平
㡀	並伊祭去
㡁	谿蛙麻上
㡅	泥・歌上
㡆	曉區唐平
㡇	端・添平
㡇	透・添入
㡇	知漪鹽入
㡉	見・仙平
㡊	谿娃咸入
㡋	影依嚴入
㡏	生逶魚平
㡏	生逶魚去
㡑	精・蕭上
㡑	清伊宵平
㡒	定區痕上
㡒	澄逶真平
㡒	知逶真平
㡓	見區痕平
㡔	明・模平
㡔	明・東入
㡔	明威魚去
㡗	定・齊平
㡗	曉・齊平
㡘	來伊鹽平
㡙	幫・齊平
㡜	心伊先入
㡜	生漪祭去
㡜	心惟先入
㡝	並威冬去
㡟	精・豪平
㡟	清・豪平
㡥	影依文去
㡧	知娃庚去
㡨	清伊鹽平
㡨	精伊鹽平
㡯	澄娃庚入
㡲	匣蛙刪平
㡷	幫區痕上
㡹	清伊支去
㡺	端・寒去
㡼	以伊脂去
㡿	昌伊清入
㢀	清伊支去
㢁	昌伊支上
㢂	疑依嚴上
㢅	來・東去
㢈	定區咍平
㢊	影娃佳上
㢋	昌伊支上
㢏	定・侯平
㢒	崇娃麻平
㢓	章伊陽去
㢔	精・東上
㢖	滂・寒平
㢗	谿漪宵去
㢚	來・模平
㢚	來・模上
㢝	心・模平
㢟	徹漪先平
㢟	徹漪先上
㢡	精依陽上
㢧	見伊幽平
㢨	匣・寒去
㢪	谿・模平
㢪	影・模平
㢯	端區痕平
㢰	並漪支去
㢵	曉依嚴入
㢸	並漪真入
㢻	孃逶支去
㢼	幫・仙入
㢾	見區仙去
㣁	並漪脂去
㣂	疑娃耕入
㣅	從・覃上
㣆	明伊支平
㣇	定・齊去
㣇	以伊脂去
㣈	心伊脂去
㣌	生娃銜去
㣎	明威東入
㣑	以惟冬平
㣙	定・青入
㣝	心威東平
㣟	曉伊真入
㣤	從伊先上
㣥	澄漪之上
㣫	章惟冬上
㣭	精・東平
㣱	崇娃耕入
㣶	知娃山平
㣻	疑依廢去
㣿	端・青入
㣿	端・蕭上
㣿	章伊陽入
㤄	幫・泰去
㤄	幫・寒入
㤄	滂・泰去
㤄	滂威廢去
㤄	滂威元入
㤅	影・咍去
㤆	滂威元去
㤇	影・豪上
㤉	谿娃麻平
㤊	匣娃肴平
㤊	匣娃肴去
㤍	谿娃肴平
㤎	見・歌平
㤏	定・冬平
㤒	見・豪平
㤕	徹逶真入
㤕	知逶真入
㤝	昌惟東平
㤞	定・唐入
㤠	來伊先入
㤤	以惟魚平
㤤	以惟魚上
㤥	匣・咍去
㤨	見威冬上
㤩	谿・唐入
㤮	見威陽去
㤮	云威陽去
㤱	滂依尤去
㤱	滂依尤上
㤲	谿・添入
㤴	昌伊鹽入
㤴	徹漪鹽入
㤸	曉・青入
㤻	來區痕上
㤾	心・覃去
㤿	影伊鹽平
㤿	影依嚴去
㥁	端・登入
㥂	透・登入
㥄	來依蒸平
㥆	透區咍去
㥆	透區痕入
㥈	定・添入
㥊	並娃耕平
㥋	影依微平
㥋	影依微上
㥌	見威東入
㥏	透・仙上
㥒	清・咍上
㥓	谿漪支平
㥓	谿漪支上
㥚	以惟魚平
㥚	以惟魚上
㥛	見依蒸入
㥜	云威微去
㥝	明伊支上
㥟	匣娃佳平
㥠	心依魚平
㥠	心依魚上
㥢	從依尤平
㥦	谿・添入
㥨	常惟支上
㥮	初娃肴上
㥯	影依文去
㥯	影依文上
㥴	以伊支平
㥴	以伊支上
㥶	心・登入
㥷	影・齊去
㥽	初娃耕入
㥾	孃漪真入
㥾	孃漪蒸入
㥾	透・登入
㦁	來伊先平
㦃	生娃山上
㦃	初娃山上
㦃	初蛙山上
㦄	明娃麻平
㦅	定・仙入
㦌	曉區痕入
㦎	曉蛙耕入
㦒	來・齊平
㦓	匣・仙上
㦗	見漪侵平
㦚	幫伊先上
㦛	以伊魚平
㦛	以伊魚上
㦜	匣區唐入
㦝	明娃江入
㦟	明娃皆平
㦣	疑伊祭去
㦣	精伊祭去
㦣	云逶祭去
㦦	曉・青入
㦬	來・歌上
㦰	精伊鹽平
㦴	見娃庚入
㦵	知逶魚平
㦺	日惟冬入
㦼	生娃江去
㦿	谿娃咸上
㧀	羣漪侵入
㧁	匣・談入
㧁	谿・覃入
㧁	谿依魚去
㧁	見・覃入
㧆	見依文去
㧉	見・咍去
㧊	滂・寒入
㧒	云逶真入
㧒	云威文入
㧓	見蛙麻平
㧔	見蛙皆去
㧖	影娃耕入
㧗	精・齊上
㧗	精伊支上
㧗	莊漪支上
㧘	從伊支去
㧘	崇娃佳平
㧘	羣漪支去
㧡	匣・咍上
㧢	影伊真平
㧦	曉區仙去
㧬	見威冬上
㧲	心・覃上
㧳	澄蛙佳上
㧴	疑・歌上
㧶	谿娃耕平
㧹	透・登入
㧺	定・覃入
㧻	知娃江入
㧾	谿區痕入
㨁	常伊蒸入
㨁	澄漪之去
㨃	端區咍上
㨅	孃逶支去
㨉	明漪真平
㨊	以惟脂上
㨋	昌伊麻上
㨍	幫・唐平
㨎	日惟先入
㨏	透・寒平
㨐	幫・侯上
㨒	谿區齊平
㨖	知漪支上
㨖	知漪脂去
㨖	知漪脂上
㨖	知漪之上
㨙	匣娃佳平
㨙	匣・齊去
㨝	心・仙入
㨞	心・模去
㨟	匣・咍平
㨟	見・咍平
㨠	明・仙上
㨡	匣區痕平
㨡	匣區痕入
㨤	谿蛙皆平
㨥	泥・覃入
㨧	並區痕上
㨨	徹漪尤平
㨵	精伊先上
㨶	端・豪上
㨷	羣漪真平
㨷	見依文去
㨹	心惟先入
㨹	精惟祭去
㨻	從・談平
㨻	生娃銜上
㨼	來依陽入
㨾	以伊陽去
㩇	曉蛙耕入
㩇	莊蛙耕入
㩉	來・覃入
㩉	端・談入
㩊	心惟先平
㩋	心・蕭平
㩋	心・蕭去
㩋	心・蕭上
㩋	生逶東入
㩋	心威東入
㩒	羣漪侵平
㩓	曉逶支上
㩜	來・談平
㩢	明娃刪入
㩢	明・齊去
㩢	明・仙入
㩤	滂威魚平
㩧	並娃江入
㩧	滂娃江入
㩨	匣區齊去
㩩	谿惟清上
㩱	精依陽入
㩳	心威冬上
㩵	從・寒入
㩵	疑・寒入
㩹	定・添入
㩺	並漪脂上
㩺	滂伊脂平
㩻	谿漪支平
㩻	見逶支去
㩼	章伊支平
㩼	章伊支去
㩽	羣漪支平
㩾	知逶支平
㩿	谿區痕入
㪁	羣漪侵平
㪁	谿・覃平
㪁	谿依嚴平
㪁	谿依嚴去
㪃	曉・歌上
㪆	端・齊上
㪇	心・仙去
㪉	見・覃入
㪋	匣・寒去
㪋	曉・歌上
㪌	心・東上
㪍	並區痕入
㪏	幫・齊去
㪏	幫・齊上
㪐	來區痕入
㪑	影依嚴入
㪒	疑・齊平
㪒	疑・齊上
㪖	來・東入
㪖	來威冬入
㪙	谿區歌去
㪜	昌惟先上
㪜	初逶支上
㪜	端區歌上
㪝	來・仙去
㪡	谿・泰去
㪤	幫伊真入
㪥	莊娃麻平
㪩	心威東入
㪪	心・談入
㪬	澄娃江入
㪬	徹娃江入
㪭	來・模平
㪵	幫・寒去
㪷	端・侯上
㪹	來・侯上
㪺	見威魚平
㪻	滂威元去
㪾	見娃庚入
㫂	章伊魚去
㫃	影漪先上
㫃	影依元上
㫊	影・歌上
㫍	以伊宵平
㫎	曉威微平
㫏	影・蕭上
㫐	影・蕭上
㫚	曉區痕入
㫱	孃娃刪上
㫹	生漪魚去
㫽	來威冬入
㬄	徹娃刪去
㬉	泥區寒上
㬊	匣區寒上
㬎	曉・仙上
㬎	疑・覃入
㬒	明・唐上
㬓	滂伊宵去
㬗	泥・仙去
㬜	精伊真去
㬝	心・東平
㬤	谿漪侵入
㬫	影・仙去
㬮	泥・寒去
㬮	孃娃山平
㬰	以惟魚平
㬱	透・齊去
㬵	匣娃肴平
㬻	曉區唐上
㭁	日伊蒸平
㭁	日伊蒸去
㭂	精・蕭上
㭈	見區仙入
㭊	心・青入
㭋	並娃江上
㭑	明・泰去
㭔	來・模平
㭕	谿依魚平
㭘	匣・覃入
㭘	羣漪鹽入
㭘	羣依嚴入
㭘	見・覃入
㭚	來依魚上
㭛	滂娃佳去
㭜	日惟東平
㭝	羣依尤平
㭠	心・仙上
㭩	來・模上
㭩	來區寒入
㭩	來惟先入
㭫	從區歌平
㭭	幫娃刪入
㭭	幫・仙入
㭯	知漪鹽入
㭰	精伊支平
㭰	精惟支平
㭰	精惟支上
㭸	定・模平
㭺	影漪鹽上
㭼	定・覃入
㭼	透・覃入
㭿	疑・唐平
㮀	匣娃咸平
㮁	匣娃肴平
㮂	見威冬入
㮃	影逶支平
㮅	章惟脂平
㮇	透・添去
㮌	明伊先平
㮍	精・仙平
㮐	心伊清上
㮕	日惟先上
㮖	見娃山入
㮘	明・豪平
㮙	疑・唐入
㮚	來伊真入
㮝	匣娃耕入
㮢	匣・侯平
㮤	邪威冬平
㮦	心・唐入
㮧	影・模平
㮨	精依蒸入
㮩	心依蒸入
㮫	匣・寒入
㮬	影・東平
㮭	匣娃咸平
㮯	匣區痕平
㮯	匣區痕上
㮰	並・仙入
㮰	並伊脂平
㮲	初漪尤平
㮴	心・豪平
㮶	生娃江入
㮷	見・齊平
㮿	幫伊真入
㯂	端・泰去
㯃	清伊真入
㯄	章伊支平
㯅	並伊支平
㯅	並漪支平
㯅	幫・齊平
㯉	徹漪魚平
㯊	匣・痕平
