字	韻
䡀	章伊先上
䡂	見依尤平
䡅	徹逶真平
䡆	以惟冬平
䡈	見娃江入
䡉	谿・唐上
䡉	谿區唐上
䡊	幫威元上
䡋	章伊支平
䡐	定・歌平
䡓	見區仙去
䡔	谿・齊上
䡗	見威冬上
䡘	定・仙平
䡙	來・唐平
䡚	明娃肴去
䡜	來威東入
䡝	影威文平
䡝	影威文上
䡝	影威元平
䡞	見威冬入
䡣	匣區痕平
䡣	曉依元平
䡧	影・模上
䡩	谿娃耕平
䡬	明威元去
䡭	心依尤平
䡮	精威冬平
䡯	清・東平
䡰	谿娃耕平
䡲	崇娃山平
䡲	崇漪先平
䡴	澄娃江去
䡴	昌惟冬平
䡵	邪惟脂去
䡼	來・青平
䡽	精區寒平
䡾	疑・寒入
䡾	疑漪先入
䢃	疑依廢去
䢅	常伊真平
䢇	日惟冬上
䢈	匣區泰去
䢉	泥・冬平
䢌	幫・寒入
䢐	從・模平
䢒	見娃肴平
䢓	云威魚平
䢔	匣・覃入
䢖	以惟真入
䢙	並娃夬去
䢚	見娃庚平
䢝	影娃麻去
䢡	心・添入
䢦	生逶真入
䢭	以伊先平
䢭	以伊先去
䢭	邪伊先去
䢮	定・青入
䢰	透・青入
䢱	定・東入
䢲	云威陽入
䢳	見漪脂上
䢵	云威文平
䢸	清依魚平
䢹	見依魚上
䢻	常伊真平
䢻	章伊真去
䢼	見威冬平
䢿	影・寒平
䢿	影・寒去
䣀	羣逶脂上
䣀	見逶支上
䣁	云威魚上
䣂	來區咍去
䣂	來區咍上
䣄	定・模平
䣄	邪依魚平
䣅	常伊真平
䣆	匣・青平
䣇	羣依尤平
䣍	影漪鹽平
䣍	影漪鹽上
䣎	莊漪之平
䣔	心區歌上
䣕	明娃麻去
䣕	明娃麻上
䣗	見・豪平
䣘	定・唐平
䣙	並區咍平
䣙	滂・登上
䣚	來・侯平
䣚	來威魚平
䣛	清伊真入
䣜	從・歌平
䣝	定・模平
䣝	澄娃麻平
䣟	從・覃平
䣟	從・覃入
䣠	從伊麻去
䣡	疑漪支平
䣢	從伊清入
䣣	端・唐上
䣤	羣威陽入
䣧	以伊蒸入
䣩	常惟真平
䣩	澄逶真平
䣪	滂・寒入
䣮	並・寒入
䣵	日伊之去
䣵	孃漪脂去
䣸	日伊鹽上
䣹	並威元入
䣺	見區仙去
䣼	來依陽平
䣽	知漪支平
䣿	曉威魚平
䣿	影威魚平
䣿	云威魚平
䤁	從伊侵平
䤁	以伊侵平
䤂	明區咍平
䤃	影漪侵平
䤅	定・模平
䤅	定・侯平
䤇	生漪尤平
䤇	心依尤上
䤉	明伊真入
䤍	明・齊平
䤎	見惟真入
䤏	並漪脂上
䤐	清伊侵上
䤐	精伊侵上
䤑	影區唐去
䤒	羣依微去
䤔	從伊鹽上
䤕	曉娃江入
䤗	見・覃上
䤘	清伊鹽上
䤘	初娃咸上
䤙	來・青入
䤢	幫娃山入
䤥	見逶支上
䤨	滂・青入
䤪	端區歌上
䤬	心・歌平
䤮	常伊鹽入
䤳	從伊麻去
䤴	匣・覃平
䤶	影依嚴入
䤹	生漪尤平
䤻	定區歌上
䤽	見蛙山平
䥈	明・唐上
䥈	明・模上
䥉	影威元平
䥍	並・齊去
䥍	心伊先入
䥍	章伊脂去
䥍	章伊侵入
䥏	疑依魚上
䥗	谿區寒去
䥗	谿區寒上
䥛	見・仙入
䥝	影・豪平
䥡	定・添入
䥢	來・冬平
䥩	明威微平
䥯	並娃佳上
䥰	明娃庚平
䥵	曉・蕭上
䥵	見・蕭上
䥶	來・青入
䥸	明伊支平
䦈	精伊麻平
䦋	疑・豪平
䦌	徹逶魚去
䦍	疑區痕入
䦏	匣娃皆去
䦏	匣・齊去
䦐	透・青上
䦑	曉區仙入
䦔	透・寒上
䦖	匣娃山入
䦖	匣・仙入
䦗	曉逶蒸入
䦘	匣娃山上
䦝	曉蛙耕入
䦧	曉・青入
䦪	影娃刪入
䦱	谿蛙佳平
䦱	云逶支上
䦲	以伊鹽平
䦲	昌伊鹽去
䦳	曉依陽去
䦵	明伊支上
䦵	泥・齊上
䦺	端・青平
䦼	滂漪蒸入
䧁	羣威魚平
䧁	曉威魚上
䧅	以伊脂平
䧆	匣・東平
䧇	影依微平
䧊	谿・東入
䧊	見・冬入
䧎	匣區仙上
䧑	端・齊平
䧘	澄逶先上
䧜	定・唐平
䧞	並依尤上
䧞	明娃麻去
䧢	谿威魚平
䧤	幫・東入
䧦	曉逶支平
䧦	云逶支平
䧦	云逶支上
䧨	疑依嚴入
䧪	昌伊鹽入
䧰	匣區痕上
䧴	書伊支去
䧴	章伊支平
䧼	見・冬入
䨁	明威魚去
䨂	清依尤平
䨊	影區仙平
䨐	匣娃咸入
䨑	定・齊平
䨒	云威魚去
䨕	影威魚平
䨗	並依尤平
䨘	心・仙去
䨛	生娃耕入
䨞	云威魚上
䨡	匣・覃平
䨢	定・覃上
䨣	見娃耕入
䨥	匣區唐入
䨥	章伊清入
䨦	滂・唐平
䨨	知逶脂平
䨮	心惟先入
䨰	滂・唐入
䨲	明威元去
䨲	泥・侯平
䨳	曉漪脂去
䨴	定區咍去
䨻	並娃耕去
䨼	匣・模去
䨽	並漪脂去
䨽	滂威微上
䨾	並威微去
䩁	滂威微平
䩂	曉娃咸平
䩃	常伊支去
䩆	莊娃刪上
䩇	知娃咸平
䩉	並威魚上
䩊	影區寒入
䩌	從伊宵平
䩌	精伊宵平
䩌	精伊宵去
䩍	來伊宵上
䩏	明・仙入
䩐	曉區痕入
䩒	曉威魚平
䩒	影威魚平
䩒	云威魚平
䩕	疑・唐平
䩙	匣區仙上
䩚	端・齊去
䩛	並伊真入
䩞	端・添入
䩞	透・添入
䩠	透・青平
䩡	見娃咸入
䩢	章伊祭去
䩢	章伊先入
䩣	透・模平
䩤	曉・仙入
䩥	定・寒上
䩦	定・蕭平
䩨	徹漪陽去
䩩	影威元平
䩩	影威元上
䩪	見區寒上
䩯	谿依蒸入
䩱	以惟魚平
䩱	書惟魚去
䩲	端・模平
䩳	心・侯平
䩵	云威文去
䩶	徹漪清上
䩶	徹漪先上
䩸	日惟冬平
䩸	日惟冬去
䩹	疑娃庚入
䩹	疑娃耕入
䩺	影・東平
䩼	並威冬平
䩽	影威魚平
䩿	並威文平
䪁	幫・東入
䪁	幫威冬入
䪂	見娃耕入
䪂	生娃耕入
䪆	透・齊上
䪈	谿伊先去
䪉	來伊鹽入
䪊	來・東平
䪌	崇娃銜去
䪌	崇娃咸去
䪍	來・寒平
䪎	心區咍平
䪎	生逶支平
䪏	泥・覃入
䪐	幫漪脂去
䪒	章惟魚去
䪔	並威魚上
䪗	匣娃麻平
䪙	滂・唐入
䪚	端・談入
䪜	昌伊鹽平
䪜	昌伊鹽去
䪝	影蛙庚入
䪞	從・談入
䪡	精・齊平
䪤	並威元平
䪥	匣娃皆去
䪦	匣・東平
䪧	澄漪支平
䪩	疑漪侵平
䪫	匣娃耕平
䪬	滂區痕入
䪯	影惟清平
䪳	以惟真上
䪴	章伊侵上
䪴	端・覃上
䪷	曉・侯去
䪸	明漪真平
䪹	滂漪脂平
䪻	並威元上
䪻	並漪先去
䪼	章惟先入
䪾	章伊真上
䫀	見・痕上
䫁	並伊脂去
䫂	端・歌上
䫄	徹蛙刪入
䫅	心・覃去
䫆	常伊清平
䫆	羣漪清平
䫉	明娃肴去
䫌	滂・齊上
䫎	章惟先入
䫏	谿依之平
䫒	明區痕平
䫔	谿・齊去
䫔	谿・仙入
䫖	徹漪侵上
䫗	匣娃麻平
䫘	匣・寒入
䫘	曉・寒入
䫛	匣・侯平
䫜	影娃肴平
䫞	曉・蕭平
䫞	谿伊宵平
䫟	匣區痕上
䫟	云威文上
䫠	並漪脂平
䫠	滂漪脂平
䫡	見娃咸去
䫡	谿娃銜上
䫡	谿娃咸去
䫡	谿娃咸上
䫡	疑娃咸平
䫢	心伊支平
䫤	明・青平
䫥	谿區咍上
䫥	谿依之平
䫥	疑區咍上
䫦	見・談入
䫧	匣・豪平
䫨	疑・豪平
䫨	疑・豪去
䫩	心・覃上
䫩	清・覃上
䫪	生漪陽上
䫪	初漪陽上
䫬	章伊侵上
䫲	曉・覃去
䫲	曉・覃上
䫳	定・東入
䫴	羣漪侵上
䫴	云漪侵去
䫵	明伊先平
䫶	並威文平
䫸	徹娃肴平
䫹	匣・東平
䫻	云逶真入
䫽	滂・豪平
䫾	滂・仙入
䫾	幫漪蒸入
䫿	徹漪宵平
䬀	影伊幽上
䬀	影依尤上
䬁	以伊支平
䬂	曉威元入
䬆	來伊脂去
䬆	來伊真入
䬇	以惟先去
䬉	曉蛙耕入
䬊	生娃銜入
䬌	滂依尤平
䬍	曉區痕入
䬍	曉威文入
䬎	見蛙耕入
䬐	日惟支平
䬑	云威微去
䬑	云威文入
䬒	生漪尤平
䬘	曉娃肴平
䬝	匣蛙庚平
䬞	定・豪平
䬞	澄漪尤平
䬟	來依尤平
䬠	滂威微平
䬡	章伊魚去
䬦	端・侯去
䬧	疑威元平
䬫	定・齊平
䬫	端・齊平
䬬	影依陽去
䬬	影依陽上
䬮	以伊之平
䬯	泥・添平
䬯	孃漪鹽平
䬰	常伊宵去
䬳	幫・寒上
䬴	明・寒入
䬵	見・咍平
䬵	影娃夬去
䬷	書伊麻上
䬼	影區仙去
䬽	來區泰去
䬽	書惟祭去
䬾	定・齊平
䬿	明威微上
䭁	章伊祭去
䭂	影漪侵入
䭃	日伊侵上
䭆	孃娃耕入
䭈	見依元平
䭉	心惟支上
䭐	以伊陽去
䭑	來伊鹽上
䭒	心依蒸入
䭓	疑・痕去
䭔	端區咍平
䭕	精・談上
䭖	章伊魚去
䭘	影漪清上
䭙	精伊侵上
䭡	影・痕去
䭡	影區痕去
䭢	孃娃耕平
䭤	谿伊先上
䭦	並・唐入
䭨	書惟祭去
䭨	生逶支平
䭩	明・歌平
䭬	谿・齊上
䭭	書伊尤上
䭮	滂威文入
䭱	並・仙入
䭱	滂・仙入
䭴	匣蛙刪平
䭴	匣區仙上
䭸	並威魚上
䭹	疑・唐平
䭹	疑・唐去
䭹	疑・唐上
䭾	定・歌平
䭾	定・歌去
䭿	定・仙入
䭿	以伊真入
䮀	並娃江入
䮂	並・寒入
䮄	匣區仙平
䮉	來依魚平
䮋	來伊祭去
䮎	曉依微去
䮒	滂・模平
䮔	章惟支上
䮔	精惟支平
䮗	疑・寒去
䮙	云逶蒸入
䮝	匣區痕平
䮟	生漪尤平
䮠	幫漪蒸入
䮢	崇娃咸入
䮤	匣・唐入
䮤	見娃江入
䮥	來・青入
䮧	匣・寒平
䮧	匣・寒去
䮩	見區痕入
䮭	明・青入
䮱	澄逶東入
䮳	並威元平
䮴	定・登去
䮷	定・東入
䮸	見娃江入
䮸	影娃江入
䮸	影・冬入
䮹	影威廢去
䮻	端・豪上
䮽	來・東入
䮾	並・東平
䮾	來娃江平
䯂	崇漪侵入
䯂	生漪真平
䯇	谿區痕入
䯇	谿蛙山入
䯈	疑區寒平
䯉	影區痕入
䯉	影蛙山入
䯊	谿・歌平
䯋	並・寒入
䯋	谿・寒入
䯍	來・青平
䯏	見區寒入
䯑	谿區唐平
䯒	匣娃庚平
䯓	谿區齊平
䯖	來・唐平
䯗	並・齊上
䯘	匣區寒去
䯜	心伊清入
䯜	透・青入
䯞	谿蛙麻平
䯟	定區咍去
䯠	影・豪上
䯢	明・歌平
䯣	谿逶脂去
䯤	見區泰去
䯦	明娃山入
䯪	谿・豪去
䯪	谿・豪上
䯬	端・歌上
䯰	見娃皆去
䯳	心・冬平
䯷	心威東平
䯸	清伊脂去
䯹	心伊鹽平
䯽	並・侯平
䯽	滂・侯上
䯽	滂威魚上
䯾	定・蕭平
䯾	端・蕭平
䯾	章伊尤去
䰂	清・咍去
䰂	清・咍上
䰃	並娃庚平
䰃	幫・唐上
䰆	日伊尤平
䰈	從・歌平
䰈	清・歌上
䰉	並・寒平
䰉	幫娃刪平
䰍	曉依尤平
䰍	清伊脂去
䰎	谿逶脂去
䰏	精・齊去
䰐	來・談平
䰒	明・東平
䰓	明・仙平
䰕	來・模平
䰕	來依魚平
䰖	精・寒去
䰖	精・寒上
䰖	精・寒入
䰘	見・蕭上
䰙	疑漪支上
䰚	明威文平
䰝	精依蒸去
䰞	章伊魚上
䰟	匣區痕平
䰠	書伊真平
䰡	徹漪之去
䰤	端・東平
䰥	匣區登入
䰧	曉・模平
䰩	昌伊麻上
䰫	崇娃肴上
䰫	初娃肴平
䰯	疑依之去
䰰	日惟魚平
䰰	泥・侯平
䰲	影娃山入
䰴	見依文入
䰻	疑依魚平
䰼	從伊侵平
䰼	從・覃上
䰼	書伊侵上
䰽	幫・泰去
䱂	影・蕭平
䱂	影依尤上
䱅	明・寒入
䱊	明・齊上
䱋	見威冬上
䱌	以伊之平
䱎	見・登去
䱏	透・侯上
䱐	並依尤平
䱐	滂威魚平
䱒	影依嚴入
䱔	以伊尤平
䱕	明依尤平
䱖	來依尤平
䱗	清・寒平
䱚	來威冬入
䱜	清・唐入
䱜	清依陽入
䱝	並娃佳平
䱟	見依魚去
䱡	羣威東入
䱡	谿威冬入
䱡	見威東入
䱢	莊娃耕平
䱣	精惟真入
䱤	匣娃咸去
䱤	見・添去
䱥	章伊祭去
䱬	心依魚平
䱮	疑娃庚入
䱱	定・齊平
䱲	以惟先平
䱵	影・東平
䱷	疑依魚平
䱺	匣・咍平
䱻	匣蛙山入
䱾	來・侯平
䱾	來威魚平
䲀	章伊脂去
䲁	影威微去
䲃	精・豪上
䲊	定區歌上
䲊	以惟脂上
䲊	透區歌上
䲌	谿區寒去
䲌	谿區寒上
䲐	來・模上
䲒	匣娃佳上
䲓	疑漪鹽上
䲔	羣漪清平
䲔	羣依陽平
䲙	精・仙入
䲚	來・泰去
䲚	透・寒入
䲛	明・登去
䲜	疑依嚴入
䲦	定・泰去
䲬	羣伊支平
䲯	羣漪侵入
䲰	云威文去
䲱	滂威陽上
䲸	見娃皆去
䲹	並漪脂平
䲽	常伊清入
䲽	端・蕭上
䲾	谿娃肴上
䳀	定・仙入
䳀	以伊真入
䳅	章伊支上
䳇	明・侯上
䳇	明威魚上
䳉	端・冬平
䳊	並・寒入
䳊	幫・寒入
䳋	定・冬平
䳌	見區仙平
䳍	見威冬平
䳎	羣依尤上
䳏	見區齊去
䳐	清伊脂去
䳑	云依尤上
䳔	見威東入
䳕	並依尤平
䳖	孃漪鹽入
䳚	谿・泰去
䳚	谿・寒去
䳚	谿・寒入
䳝	滂・侯上
䳟	明漪清平
䳢	羣依之平
䳤	幫伊先入
䳦	曉威元平
䳦	心惟先平
䳩	影伊宵平
䳫	羣惟脂平
䳯	澄逶冬平
䳲	章伊真去
䳳	心惟真入
䳴	定・談入
䳺	影・覃平
䳻	從・談平
䳻	崇娃銜去
䳾	端・登平
䴀	定・東平
䴁	疑威魚平
䴁	疑威魚去
䴃	孃娃肴平
䴅	並威文平
䴅	幫區痕平
䴆	並・冬入
䴆	滂・東入
䴇	來・青平
䴊	疑漪支平
䴑	定・添入
䴚	見・唐上
䴛	心伊宵平
䴜	影蛙皆平
䴝	初蛙夬去
䴟	匣區寒平
䴠	影・豪上
䴤	生漪清平
䴥	見娃麻平
䴦	疑漪真平
䴦	疑依文平
䴧	影逶支平
䴬	以伊蒸入
䴭	從・咍平
䴮	生娃刪去
䴰	船惟冬入
䴲	明・寒入
䴳	匣蛙山入
䴵	幫伊清上
䴷	匣區痕平
䴷	匣蛙刪上
䴹	匣蛙麻上
䴹	見區歌上
䴺	並・侯上
䴻	來伊脂平
䴼	初娃刪去
䴽	並伊支平
䴽	幫漪支平
䴾	從・歌平
䴿	明・東平
䵀	心區歌上
䵂	定・青入
䵂	澄漪清入
䵃	見蛙庚上
䵈	谿・東入
䵋	見區咍去
䵋	云逶脂上
䵌	曉・添平
䵎	透區寒平
䵏	來・豪上
䵐	昌伊先上
䵑	孃漪真入
䵒	孃漪真入
䵔	端・東上
䵖	谿・仙去
䵖	谿・仙上
䵗	並・登入
䵘	生娃佳去
䵝	影依之去
䵞	羣漪清平
䵟	見・寒上
䵣	端・寒入
䵤	匣・仙上
䵤	端・仙上
䵦	邪伊麻上
䵧	精・咍去
䵨	明娃江平
䵬	透・覃入
䵮	以伊陽去
䵮	書伊陽平
䵱	曉依蒸入
䵳	影蛙夬去
䵳	影區泰去
䵴	以伊蒸去
䵵	初蛙刪入
䵵	莊逶先入
䵸	清依尤平
䵹	知漪支平
䵻	邪惟祭去
䵼	書伊陽平
䵽	清・談入
䶀	谿・談入
䶀	透・覃入
䶂	幫娃肴去
䶂	端・青入
䶂	章伊陽入
䶂	精依陽入
䶃	匣・覃平
䶃	見・覃平
䶄	並・青平
䶅	匣・唐入
䶅	來・唐入
䶆	章惟脂平
䶈	幫・唐入
䶎	曉娃咸入
䶐	影蛙夬去
䶐	影區泰去
䶒	從・齊平
䶓	精・齊去
䶔	澄漪支平
䶖	羣漪侵去
䶗	谿娃麻平
䶘	來・談入
䶘	來伊侵入
䶙	羣依魚上
䶛	來・寒入
䶜	匣・東入
䶜	見・冬入
䶞	羣依之平
䶞	谿依之平
䶢	見娃咸入
䶢	谿娃咸入
䶣	見・咍平
䶥	崇娃麻平
䶥	莊娃麻平
䶥	莊漪魚平
䶦	初娃耕入
䶩	從・齊去
䶬	見・仙平
䶬	疑漪先入
䶱	定・冬平
䶱	章惟東平
䶲	日伊鹽平
䶲	泥・覃平
䶴	昌惟支平
䶴	昌惟支去
䶵	澄漪支平
一	影伊真入
丁	端・青平
丁	知娃耕平
丂	谿・豪上
七	清伊真入
丄	常伊陽去
丄	常伊陽上
丅	匣娃麻上
万	明・登入
万	明威元去
丈	澄漪陽上
三	心・談平
三	心・談去
上	常伊陽去
上	常伊陽上
下	匣娃麻去
下	匣娃麻上
丌	見依之平
不	幫依尤平
不	幫依尤上
不	幫威文入
与	以伊魚上
丏	明・仙上
丐	見・泰去
丐	見・寒入
丑	徹漪尤上
且	清伊麻上
且	精依魚平
丕	滂漪脂平
世	書伊祭去
丗	書伊祭去
丘	谿依尤平
丙	幫漪清上
丞	常伊蒸平
丞	常伊蒸去
丟	端依幽平
丠	谿依尤平
両	來依陽上
丣	以伊尤上
並	並・青上
丨	羣威元入
丨	見區痕上
丩	見依尤平
个	見・歌去
丫	影娃麻平
中	知逶東平
中	知逶東去
丮	見漪清入
丯	見娃皆去
丰	滂威冬平
丱	見蛙刪去
串	見蛙刪去
串	昌惟先去
丳	初娃山上
丵	崇娃江入
丶	知逶魚上
丸	匣區寒平
丹	端・寒平
主	章惟魚上
丼	端・覃上
丼	精伊清上
丽	來・齊去
丿	以伊祭去
丿	滂・仙入
乀	滂威文入
乂	疑依廢去
乃	泥・咍上
久	見依尤上
乇	透・唐入
乇	知娃庚入
么	明・登入
之	章伊之平
乍	崇娃麻去
乎	匣・模平
乏	並威嚴入
乑	疑漪侵平
乒	滂・青平
乓	滂・唐平
乖	見蛙皆平
乗	船伊蒸平
乗	船伊蒸去
乘	船伊蒸平
乘	船伊蒸去
乙	影漪真入
乚	影依文上
乜	明伊麻上
九	見依尤上
乞	谿依文入
也	以伊麻上
乩	見・齊平
乭	定區痕入
乳	日惟魚上
乾	羣漪先平
乾	見・寒平
亂	來區寒去
亄	影漪脂去
亄	影漪真入
亅	羣威元入
了	來・蕭上
予	以伊魚平
予	以伊魚上
事	崇漪之去
事	莊漪之去
二	日伊脂去
亍	徹逶冬入
亍	知逶魚去
于	曉威魚平
于	云威魚平
云	云威文平
互	匣・模去
亓	羣依之平
五	疑・模上
井	精伊清上
亖	心伊脂去
亘	見・登去
亙	見・登去
些	心・歌去
些	心・齊去
些	心伊麻平
亞	影娃麻去
亟	谿依之去
亟	見依蒸入
亠	定・侯平
亡	明威陽平
亢	見・唐平
亢	谿・唐去
交	見娃肴平
亥	匣・咍上
亦	以伊清入
亨	曉娃庚平
亨	曉依陽上
亨	滂娃庚平
享	曉依陽上
京	見漪清平
亭	定・青平
亮	來依陽去
亯	曉依陽上
亳	並・唐入
亶	端・寒上
亹	明區痕平
亹	明威微上
人	日伊真平
亻	日伊真平
亼	從伊侵入
亾	明威陽平
什	常伊侵入
仁	日伊真平
仂	來・登入
仂	來依蒸入
仃	端・青平
仄	莊漪蒸入
仆	並・登入
仆	滂・侯去
仆	滂依尤去
仆	滂威魚去
仇	羣依尤平
仉	章伊陽上
今	見漪侵平
介	見娃皆去
仌	幫漪蒸平
仍	日伊蒸平
从	從威冬平
仔	精依之平
仔	精依之上
仕	崇漪之上
他	透・歌平
仗	澄漪陽去
仗	澄漪陽上
付	幫威魚去
仙	心伊先平
仚	曉漪先平
仛	定・唐入
仜	匣・東平
仝	定・東平
仝	從惟先平
仞	日伊真去
仟	清・仙平
仠	見・寒上
仡	曉依文入
仡	疑依文入
仢	常伊陽入
代	定・咍去
令	來・青平
令	來・青去
令	來伊清平
令	來伊清去
令	來伊先平
以	以伊之上
仨	心・談平
仨	心・談入
仫	明・模去
仯	初娃肴去
仯	初娃肴上
仰	疑依陽去
仰	疑依陽上
仲	澄逶東去
仳	並伊脂平
仳	並漪脂上
仳	滂伊支上
仵	疑・模上
件	羣漪先上
价	見娃皆去
仸	影漪宵上
仹	滂威冬平
任	日伊侵平
任	日伊侵去
份	並威文去
份	幫漪真平
仿	滂威陽上
伀	章惟冬平
企	谿伊支去
企	谿伊支上
伂	幫・泰去
伃	以伊魚平
伄	端・蕭去
伄	端・蕭上
伆	明威文上
伆	明威文入
伈	心伊侵上
伉	谿・唐去
伊	影伊脂平
伋	見漪侵入
伍	疑・模上
伎	羣伊支平
伎	羣漪支上
伎	章伊支去
伏	並依尤去
伏	並威東入
伐	並威元入
休	曉依尤平
伕	幫威魚平
伙	曉區歌上
伢	疑娃麻平
伭	匣・仙平
伯	幫娃庚入
估	見・模上
伱	孃漪之上
伲	孃漪之上
伴	並・寒去
伴	並・寒上
伶	來・青平
伷	澄漪尤去
伸	書伊真平
伹	從・模上
伹	清依魚平
伺	心依之平
伺	心依之去
伻	滂娃耕平
似	邪依之上
伽	羣依歌平
伾	滂漪脂平
伿	以伊支去
伿	章伊支去
佀	邪依之上
佁	以伊廢上
佁	以伊之上
佁	徹漪之去
佂	章伊清平
佃	定・仙平
佃	定・仙去
佅	明娃夬去
但	定・寒平
但	定・寒去
但	定・寒上
佇	澄漪魚上
佈	幫・模去
佉	谿依歌平
佊	幫漪支去
佊	幫漪支上
佋	常伊宵平
佋	常伊宵上
佌	清伊支上
位	云逶脂去
低	端・齊平
住	澄逶魚去
住	知逶魚去
佐	精・歌去
佑	云依尤去
佒	影・唐平
体	並區痕上
佔	端・添平
何	匣・歌平
何	匣・歌上
佖	並伊真入
佖	並漪真入
佗	定・歌平
佗	透・歌平
佘	常伊麻平
佘	船伊麻平
余	常伊麻平
余	以伊魚平
佚	以伊真入
佛	並威文入
作	精・歌去
作	精・唐入
作	精・模去
佝	曉・侯去
佞	泥・青去
佟	定・冬平
你	孃漪之上
佣	以惟冬平
佤	疑蛙麻上
佧	谿娃麻上
佨	幫娃肴平
佩	並區咍去
佪	匣區咍平
佫	匣・唐入
佬	來・豪上
佮	見・覃入
佮	影・覃入
佮	透・覃入
佯	從依陽平
佯	以伊陽平
佰	明娃庚入
佰	幫娃庚入
佳	見娃佳平
佴	泥・咍去
佴	日伊之去
併	並娃耕上
併	並・青上
併	幫伊清去
併	幫伊清上
佶	羣漪真入
佷	匣・痕上
佸	匣區寒入
佸	見區寒入
佹	見逶支上
佺	清惟先平
佻	定・蕭平
佻	端・蕭上
佻	透・蕭平
佼	匣娃肴上
佼	見娃肴平
佼	見娃肴上
佽	清伊脂去
佾	以伊真入
使	生漪之去
使	生漪之上
侀	匣・青平
侁	生漪真平
侂	透・唐入
侃	谿・寒去
侃	谿・寒上
侄	章伊真入
侅	匣娃皆上
侅	匣・咍上
侅	見・咍平
侅	谿・咍平
來	來・咍平
侈	昌伊支上
侉	影・歌去
侊	見蛙庚平
侊	見區唐平
例	來伊祭去
侍	常伊之去
侎	明伊支上
侏	章惟魚平
侐	曉逶蒸入
侐	曉惟脂去
侑	云依尤去
侒	影・寒平
侔	明依尤平
侖	來惟真平
侗	定・東平
侗	定・東去
侗	透・東平
侗	透・東上
侘	徹娃麻平
侘	徹娃麻去
侙	徹漪蒸入
侚	邪惟真去
供	見威冬平
供	見威冬去
侜	知漪尤平
依	影依微平
侣	來依魚上
侮	明威魚上
侯	匣・侯平
侲	章伊真平
侲	章伊真去
侳	精威歌平
侳	精區歌去
侴	徹漪尤上
侵	清伊侵平
侶	來依魚上
侷	羣威冬入
侸	端・侯平
侹	透・青去
侹	透・青上
侺	常伊侵去
侻	透區寒入
便	並伊先平
便	並伊先去
俁	疑威魚上
係	見・齊去
促	清威冬入
俄	疑・歌平
俅	羣依尤平
俆	邪依魚平
俇	羣威陽上
俊	精惟真去
俋	澄漪侵入
俌	滂威魚上
俌	幫威魚上
俍	來・唐上
俎	莊漪魚上
俏	清伊宵去
俐	來伊脂去
俑	以惟冬上
俑	透・東平
俒	匣區痕平
俒	匣區痕去
俓	見・青去
俓	疑娃耕平
俓	疑・仙平
俔	匣・仙上
俔	谿・仙去
俕	心・覃去
俖	滂區咍上
俗	邪威冬入
俘	滂威魚平
俙	曉依微平
俙	曉依微上
俚	來依之上
俛	明漪先上
俜	滂・青平
俜	滂伊清去
保	幫・豪上
俞	以惟魚平
俞	徹漪尤去
俟	羣依微平
俟	俟漪之上
俠	匣・添入
信	心伊真去
俬	心伊脂平
修	心依尤平
俯	幫威魚上
俰	匣區歌去
俱	見威魚平
俲	匣娃肴去
俳	並娃皆平
俴	從伊先上
俴	精伊先上
俵	幫漪宵去
俶	昌惟東入
俸	並威冬去
俸	幫・東上
俹	影娃麻去
俺	影・覃上
俺	影漪鹽去
俺	影依嚴去
俻	並漪脂去
俾	幫伊支上
倀	知娃庚去
倀	徹漪陽平
倂	幫伊清去
倃	羣依尤上
倃	見・豪平
倄	匣娃肴平
倄	云威廢上
倅	清區咍去
倅	精區痕入
倆	來依陽上
倇	影威元上
倈	來依之平
倉	清・唐平
個	見・歌去
倌	見蛙刪去
倌	見區寒平
倍	並區咍上
倏	書惟東入
倐	書惟東入
們	明區痕平
倒	端・豪去
倒	端・豪上
倓	定・談平
倓	定・談去
倓	定・覃上
倔	羣威文入
倕	常惟支平
倖	匣娃耕上
倗	並・登平
倗	並・登去
倗	滂・登上
倘	透・唐上
候	匣・侯去
倚	影漪支去
倚	影漪支上
倜	透・青入
倝	見・寒去
倞	羣漪清去
借	精伊麻去
借	精伊清入
倠	曉惟脂平
倡	昌伊陽平
倡	昌伊陽去
倢	從伊鹽入
倣	幫威陽上
倥	谿・東平
倥	谿・東去
倥	谿・東上
倦	羣逶先去
倧	精・冬平
倨	見依魚去
倩	清・仙去
倩	清伊清去
倪	疑・齊平
倫	來惟真平
倬	知娃江入
倭	影逶支平
倭	影區歌平
倭	影區歌上
倮	來區歌上
倯	心威冬平
倰	來・登平
倰	來・登去
倱	匣區痕上
倲	端・東平
倳	莊漪之去
倷	泥・咍上
倻	以伊麻平
值	澄漪之去
值	澄漪蒸入
偁	昌伊蒸平
偃	影依元上
偄	日惟先上
偄	泥區寒去
偅	章惟冬去
偆	昌惟真上
偆	徹逶真上
假	見娃麻去
假	見娃麻上
偈	羣漪祭去
偈	羣漪先入
偉	云威微上
偋	並伊清去
偌	日伊歌去
偎	影區咍平
偏	滂伊先平
偏	滂伊先去
偐	疑娃刪去
偑	幫威東平
偒	透・唐上
偓	影娃江入
偔	疑・唐入
偕	匣娃皆平
偕	見娃皆平
偘	谿・寒去
偙	端・齊去
做	精・模去
偛	莊娃咸入
停	定・青平
偝	並區咍去
偞	曉・添入
偞	以伊鹽入
偟	匣區唐平
